quarter,perc100,perc_newMeth,date,perc_oldMeth
,,,31/03/2008,7.8
,,,30/06/2008,6.1
,,,30/09/2008,4.9
,,,31/12/2008,-6.1
,,,31/03/2009,1.9
,,,30/06/2009,3.9
,,,30/09/2009,-2.6
,,,31/12/2009,9
,,,31/03/2010,9.2
,,,30/06/2010,4.6
,,,30/09/2010,6.2
,,,31/12/2010,4.3
,,,31/03/2011,-0.3
,,,30/06/2011,-1.1
,,,30/09/2011,2
,,,31/12/2011,1.5
,,,31/03/2012,2.2
,,,30/06/2012,4.8
,,,30/09/2012,4.5
,,,31/12/2012,6
,,,31/03/2013,5.9
,,,30/06/2013,3.8
,,,30/09/2013,3.2
,,,31/12/2013,3.6
1 квартал,95.8,-4.2,31/03/2014,-2.8
2 квартал,100.8,0.8,30/06/2014,0.8
3 квартал,101.8,1.8,30/09/2014,2.6
4 квартал,96.5,-3.5,31/12/2014,-3.5
,,,,
,,,,
1 квартал,100.1,0.1,31/03/2015,-1.9
2 квартал,97.4,-2.6,30/06/2015,-4.4
3 квартал,94.4,-5.6,30/09/2015,-4.3
4 квартал,99.1,-0.9,31/12/2015,-1.9
,,,,
,,,,
1 квартал,97.4,-2.6,31/03/2016,-3.3
2 квартал,94.8,-5.2,30/06/2016,-5.4
3 квартал,96.2,-3.8,30/09/2016,-7.2
4 квартал,94.4,-5.6,31/12/2016,-7.3
,,,,
,,,,
1 квартал,100.1,0.1,31/03/2017,0.1
2 квартал,99.3,-0.7,30/06/2017,-2.2
3 квартал,99.0,-1.0,30/09/2017,-1.3
4 квартал,99.8,-0.2,31/12/2017,-0.7
,,,,
,,,,
1 квартал,101.0,1.0,31/03/2018,0.5
2 квартал,100.2,0.2,30/06/2018,1.3
3 квартал,100.0,0.0,30/09/2018,-1.4
4 квартал,99.2,-0.8,31/12/2018,-0.9
,,,,
,,,,
1 квартал,97.9,-2.1,31/03/2019,
2 квартал,100.7,0.7,30/06/2019,
3 квартал,102.5,2.5,30/09/2019,
4 квартал,102.5,2.5,31/12/2019,
,,,,
,,,,
1 квартал,101.0,1.0,31/03/2020,
2 квартал,92.1,-7.9,30/06/2020,
3 квартал,94.7,-5.3,30/09/2020,
4 квартал,98.3,-1.7,31/12/2020,
,,-3.6,31/03/2021,